order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,category,sub_category,quantity,unit_price,discount,sales,profit
ORD-001618,08/05/2024,2024-08-11,First Class,CUST-0266,Joshua Reed,Consumer,East,New Jersey,Furniture,Bookcases,6,153.97,0.3,646.66,14.7
ORD-004189,08/23/2023,30-Aug-2023,Standard Class,CUST-0014,Michele Williams,Corporate,East,New York,Technology,Copiers,3,236.26,0.0,708.79,27.37
ORD-000492,07/28/2023,01-Aug-2023,First Class,CUST-0130,Megan Orr,Corporate,East,Massachusetts,Technology,Copiers,8,283.96,0.0,2271.7,327.75
ORD-005779,2024-02-09,2024-02-15,Second Class,CUST-0445,Mrs. Diane Reyes,Consumer,South,Tennessee,Furniture,Chairs,7,281.7,0.1,1774.69,-162.67
ORD-001168,2023-04-28,04-May-2023,Same Day,CUST-0131,Elizabeth Kelley,Home Office,South,North Carolina,Furniture,Bookcases,3,316.78,0.0,950.34,208.15
ORD-000831,2024-08-01,07-Aug-2024,Standard Class,CUST-0500,Phillip Berry,Corporate,Central,Illinois,Technology,Accessories,8,558.05,0.0,4464.43,606.41
ORD-008403,10-Dec-2023,12/14/2023,Same Day,CUST-0032,James Ferrell,Home Office,West,Oregon,Furniture,Furnishings,5,287.26,0.0,1436.28,15.86
ORD-000724,08/04/2024,08-Aug-2024,Same Day,CUST-0045,Angelica Tucker,Home Office,Central,Illinois,Furniture,Chairs,6,210.35,0.0,1262.12,278.13
ORD-000925,11/21/2023,2023-11-26,Second Class,CUST-0345,Kayla Rodriguez,Home Office,East,New York,Technology,Phones,7,516.33,0.1,3252.91,654.69
ORD-006308,20-Jul-2024,22-Jul-2024,Same Day,CUST-0423,Michael Mitchell,Consumer,West,Nevada,Technology,Phones,2,409.05,0.0,818.1,170.72
ORD-006368,2023-11-28,2023-12-03,Standard Class,CUST-0424,Mary Escobar,Consumer,East,New York,  Technology ,Phones,1,351.46,0.0,351.46,44.92
ORD-006902,08/21/2024,28-Aug-2024,First Class,CUST-0093,Denise Jacobs,Consumer,Central,Michigan,Office Supplies,Labels,5,60.64,0.3,212.24,-11.92
ORD-008135,2024-12-20,12/27/2024,Same Day,CUST-0036,Jeffrey Chavez,Consumer,EAST,New Jersey,Office Supplies,Art,5,31.88,0.0,159.42,4.84
ORD-006710,06/03/2023,2023-06-09,First Class,CUST-0085,Zachary Ferrell,Consumer,West,California,Furniture,Chairs,2,262.29,0.1,472.12,89.49
ORD-008999,10/21/2023,2023-10-24,Standard Class,CUST-0147,Victoria Larson,Corporate,Central,Texas,Office Supplies,Labels,4,26.78,0.2,85.68,8.07
ORD-006924,2024-08-13,08/14/2024,Same Day,CUST-0379,anthony moore,Consumer,West,Washington,Office Supplies,Labels,3,34.69,0.3,72.85,12.79
ORD-004445,28-May-2024,2024-05-31,Standard Class,CUST-0037,Sherri Baker,Home Office,South,Florida,Technology,Accessories,1,391.81,0.0,391.81,46.39
ORD-000016,2023-02-14,2023-02-20,First Class,CUST-0344,Nichole Alvarez,Home Office,Central,Illinois,Office Supplies,Art,7,28.68,0.0,200.77,74.74
ORD-004580,2023-11-14,2023-11-19,Same Day,CUST-0171,Jamie Walton,Home Office,East,Massachusetts,Office Supplies,Paper,6,49.68,0.3,208.64,29.82
ORD-005887,2023-03-08,2023-03-11,Same Day,CUST-0052,Danny Morgan,Home Office,East,New Jersey,Technology,Machines,5,469.49,0.2,1877.95,105.26
ORD-004706,07/11/2024,18-Jul-2024,Standard Class,CUST-0249,Jose Travis,Consumer,West,Oregon,Office Supplies,Labels,7,34.63,0.0,242.43,9.97
ORD-005032,2023-11-06,11/10/2023,Standard Class,CUST-0051,Jessica Holmes,Home Office,East,Pennsylvania,Furniture,Bookcases,1,316.42,0.0,316.42,115.11
ORD-004322,29-Feb-2024,2024-03-02,Same Day,CUST-0008,Gina Moore,Consumer,Central,Illinois,Office Supplies,Storage,1,47.01,0.0,47.01,8.09
ORD-004722,2024-11-08,12-Nov-2024,Standard Class,CUST-0279,Shannon James,Corporate,Central,Michigan,Office Supplies,Storage,5,24.79,0.3,86.77,0.83
ORD-004000,12/19/2023,12/24/2023,Second Class,CUST-0159,Melissa Gates,Corporate,South,Tennessee,Office Supplies,Art,7,52.36,0.1,329.84,131.72
ORD-006409,09/27/2024,2024-10-04,Second Class,CUST-0352,Kimberly Nguyen,Corporate,South,North Carolina,Office Supplies,Art,6,36.01,0.2,172.86,11.36
ORD-006690,11/19/2023,20-Nov-2023,First Class,CUST-0218,Mark Brown,Corporate,West,Nevada,Office Supplies,Labels,7,49.49,0.0,346.44,75.22
ORD-002144,07/24/2023,2023-07-31,Second Class,CUST-0470,Jeanette Harrison,Corporate,South,Florida,Technology,Accessories,5,345.08,0.3,1207.79,26.91
ORD-004057,06/11/2024,14-Jun-2024,Same Day,CUST-0468,William Jones,Consumer,East,Massachusetts,Furniture,Tables,4,118.23,0.0,472.94,-1.08
ORD-000195,11/17/2023,2023-11-18,Standard Class,CUST-0249,Jose Travis,Consumer,West,Oregon,Technology,Accessories,4,514.05,0.0,2056.2,166.08
ORD-005450,11/30/2024,2024-12-06,First Class,CUST-0064,Donald Wright,Home Office,Central,Ohio,Technology,Phones,8,318.76,0.1,2295.06,241.15
ORD-008846,04/10/2023,04/17/2023,Standard Class,CUST-0266,Joshua Reed,Consumer,East,New Jersey,Technology,Phones,5,525.66,0.0,2628.31,376.56
ORD-005791,2023-05-26,2023-06-01,First Class,CUST-0286,Elaine Brooks,Corporate,South,Florida,Office Supplies,Paper,5,33.63,0.0,168.14,34.53
ORD-000375,06/07/2024,2024-06-13,Standard Class,CUST-0082,Mike Allen,Corporate,South,Tennessee,Office Supplies,Binders,2,28.58,0.0,57.16,-1.07
ORD-006095,2024-11-13,11/14/2024,Standard Class,CUST-0385,Aimee Turner,Consumer,East,New York,Furniture,Bookcases,8,142.89,0.1,1028.84,42.22
ORD-004443,2023-07-31,08/04/2023,Standard Class,CUST-0236,Kathryn Snyder,Consumer,West,Nevada,Furniture,Bookcases,5,380.35,0.15,1616.48,325.68
ORD-006559,07-Aug-2024,2024-08-12,Same Day,CUST-0478,Judith Carter,Corporate,South,North Carolina,Furniture,Furnishings,1,380.84,0.2,304.67,-2.24
ORD-008642,11/14/2024,17-Nov-2024,Same Day,CUST-0342,Cynthia Morris,Corporate,South,Georgia,Office Supplies,Storage,4,41.2,0.3,115.37,-19.51
ORD-004165,17-Nov-2023,2023-11-24,Same Day,CUST-0490,Lance Simmons,Consumer,South,Georgia,Office Supplies,Storage,4,35.59,0.2,113.9,-1.71
ORD-003017,2024-04-18,2024-04-22,First Class,CUST-0261,Katie Suarez,Home Office,Central,Michigan,Technology,Accessories,4,460.3,0.1,1657.08,71.44
ORD-004180,2024-01-15,01/19/2024,Second Class,CUST-0225,Matthew Moore,Home Office,South,Georgia,Office Supplies,Storage,-7,29.07,0.1,183.17,14.45
ORD-002954,01/04/2023,01/05/2023,Standard Class,CUST-0072,Whitney Peters,Consumer,Central,Illinois,Furniture,Furnishings,5,236.79,0.0,1183.95,-234.35
ORD-004857,2024-04-18,2024-04-25,First Class,CUST-0130,Megan Orr,Corporate,East,Massachusetts,Technology,Phones,7,245.83,0.0,1720.83,189.77
ORD-003020,12/05/2023,12/12/2023,First Class,CUST-0068,Carol Tucker,Home Office,East,Pennsylvania,Furniture,Bookcases,5,311.52,0.3,1090.31,106.93
ORD-006699,2024-11-11,11/15/2024,First Class,CUST-0312,Victor Taylor,Home Office,East,Pennsylvania,Furniture,Chairs,6,271.18,0.0,1627.1,102.63
ORD-005358,06/12/2024,14-Jun-2024,Same Day,CUST-0105,Richard Henson,Home Office,East,New Jersey,Office Supplies,Storage,8,32.43,0.2,207.52,-37.81
ORD-000306,14-Jun-2023,20-Jun-2023,Standard Class,CUST-0027,Justin Baker,Corporate,East,Pennsylvania,Furniture,Furnishings,2,299.08,0.15,508.43,72.87
ORD-006579,02-Apr-2023,2023-04-09,Same Day,CUST-0420,Jake Campbell,Consumer,Central,Illinois,Furniture,Tables,6,155.11,0.3,651.46,147.42
ORD-002467,2023-09-08,09/14/2023,Same Day,CUST-0306,kevin oconnor,Home Office,West,Washington,Technology,Phones,7,584.14,0.0,4088.96,1164.07
ORD-003613,2023-03-09,03/10/2023,First Class,CUST-0029,Zachary Hicks,Consumer,Central,Ohio,Furniture,Bookcases,8,249.1,0.1,1793.5,27.81
ORD-005027,10/20/2023,2023-10-21,Second Class,CUST-0115,Garrett Lin,Corporate,East,New Jersey,Furniture,Bookcases,3,199.67,0.15,509.17,9.42
ORD-006422,16-Jun-2024,2024-06-23,Same Day,CUST-0138,Courtney Gonzalez,Consumer,Central,Ohio,Technology,Phones,7,433.79,0.0,3036.53,389.21
ORD-006282,27-Sep-2023,09/28/2023,Standard Class,CUST-0021,Margaret Hawkins DDS,Corporate,West,Oregon,Office Supplies,Art,3,30.62,0.0,91.86,12.86
ORD-008167,25-Nov-2024,11/27/2024,Same Day,CUST-0048,Shane Henderson,Consumer,South,Florida,Furniture,Tables,3,127.81,0.0,383.43,73.34
ORD-004595,12/10/2023,2023-12-14,Second Class,CUST-0486,Jonathan Glass MD,Consumer,Central,Texas,Furniture,Bookcases,3,243.31,0.0,729.93,250.54
ORD-002474,2024-04-07,04/10/2024,Same Day,CUST-0080,lisa barnes,Corporate,WEST,California,Furniture,Tables,6,194.52,0.0,1167.1,-11.85
ORD-004557,2024-03-02,2024-03-03,Second Class,CUST-0356,Jesse Perez,Corporate,East,New York,Technology,Machines,7,527.46,0.1,3323.0,369.45
ORD-000489,20-Jan-2024,26-Jan-2024,First Class,CUST-0379,Anthony Moore,Consumer,West,Washington,Technology,Phones,4,345.72,0.2,1106.31,-321.79
ORD-001173,02-Jan-2024,01/04/2024,Standard Class,CUST-0210,Brian Lee,Consumer,CENTRAL,Michigan,  Furniture ,Furnishings,4,88.5,0.2,283.2,37.29
ORD-006418,2023-02-27,03-Mar-2023,Second Class,CUST-0478,Judith Carter,Corporate,South,North Carolina,Office Supplies,Art,4,40.21,0.2,128.68,-16.67
ORD-004969,2023-12-10,15-Dec-2023,Standard Class,CUST-0459,Aaron Miller,Home Office,West,Washington,Furniture,Furnishings,5,273.4,0.15,1161.97,293.97
ORD-007134,2023-07-06,2023-07-07,Standard Class,CUST-0014,Michele Williams,Corporate,East,New York,Office Supplies,Labels,4,40.83,0.15,138.83,35.15
ORD-008578,27-Nov-2023,2023-11-28,Second Class,CUST-0328,Trevor Johnson,Consumer,West,Washington,Office Supplies,Labels,1,45.51,0.1,40.96,5.7
ORD-003303,2024-05-06,09-May-2024,Standard Class,CUST-0268,Colin Terry,Consumer,South,Tennessee,Technology,Copiers,7,392.84,0.0,2749.89,-149.04
ORD-008206,09-Mar-2024,2024-03-11,Standard Class,CUST-0473,Lori Ingram,Consumer,West,Nevada,Office Supplies,Labels,4,49.22,0.1,177.18,24.55
ORD-001995,2023-01-05,2023-01-08,Standard Class,CUST-0443,Robert Harrison,Home Office,West,Oregon,Furniture,Chairs,7,394.26,0.0,2759.81,157.44
ORD-004770,05/10/2023,2023-05-11,Standard Class,CUST-0307,Edward Burgess,Consumer,South,Tennessee,Furniture,Tables,3,153.29,0.0,459.86,52.34
ORD-004186,2024-09-11,09/13/2024,First Class,CUST-0169,Joel Williams,Home Office,Central,Ohio,Technology,Copiers,7,353.68,0.3,1733.02,-190.44
ORD-001778,2023-11-23,2023-11-25,Same Day,CUST-0176,Alex Hernandez,Consumer,West,Nevada,Furniture,Tables,7,111.99,0.2,627.17,-2.43
ORD-000891,2024-08-05,11-Aug-2024,Same Day,CUST-0206,David Martinez,Home Office,East,New Jersey,Office Supplies,Binders,8,20.23,0.2,129.5,-1.29
ORD-007329,2024-05-29,05/31/2024,Standard Class,CUST-0073,Brittney Phillips,Consumer,West,Nevada,Furniture,Furnishings,4,266.09,0.2,851.49,-94.48
ORD-002576,08/04/2023,2023-08-08,,CUST-0378,,Consumer,East,Massachusetts,Furniture,Bookcases,5,420.69,,2103.43,
ORD-008269,2023-07-28,2023-08-04,Standard Class,CUST-0152,Pamela Boyd,Home Office,West,California,Office Supplies,Binders,4,29.34,0.0,117.35,30.79
ORD-004379,11/11/2023,11/14/2023,Same Day,CUST-0448,shelly spencer,Consumer,Central,Ohio,Furniture,Chairs,1,212.7,0.1,191.43,35.47
ORD-007893,07/03/2023,10-Jul-2023,Second Class,CUST-0323,Johnathan Davis,Consumer,South,North Carolina,Office Supplies,Paper,6,42.6,0.1,230.05,26.6
ORD-000516,2023-05-03,05/04/2023,Standard Class,CUST-0002,Noah Rhodes,Consumer,West,Washington,Furniture,Chairs,8,230.7,0.15,1568.74,-78.8
ORD-008696,02/13/2023,2023-02-17,Second Class,CUST-0131,Elizabeth Kelley,Home Office,South,North Carolina,Office Supplies,Binders,3,24.86,0.15,63.4,18.11
ORD-004837,2024-04-04,09-Apr-2024,First Class,CUST-0054,Mark Perez,Corporate,West,Nevada,Furniture,Tables,4,172.96,0.0,691.82,-29.15
ORD-002071,02-Feb-2023,04-Feb-2023,Standard Class,CUST-0093,Denise Jacobs,Consumer,Central,Michigan,Office Supplies,Labels,1,41.5,0.2,33.2,6.53
ORD-006725,29-Mar-2023,31-Mar-2023,Standard Class,CUST-0132,Dustin Jordan,Consumer,East,Massachusetts,Furniture,Tables,6,260.77,0.0,1564.62,82.03
ORD-005292,2024-01-09,15-Jan-2024,Same Day,CUST-0103,Rebecca Valencia,Home Office,Central,Texas,Technology,Copiers,6,341.54,0.3,1434.47,-381.73
ORD-005094,04/19/2024,20-Apr-2024,Same Day,CUST-0031,Rebecca Henderson,Corporate,West,Washington,Furniture,Furnishings,1,154.22,0.2,123.37,-16.04
ORD-000583,2024-11-04,08-Nov-2024,First Class,CUST-0369,Renee Bruce,Home Office,South,Florida,Furniture,Furnishings,5,326.69,0.0,1633.46,723.25
ORD-001602,2024-12-31,2025-01-03,First Class,CUST-0077,Angela Lopez,Home Office,East,New York,Furniture,Furnishings,6,266.67,0.3,1120.02,171.88
ORD-003708,16-Oct-2023,10/21/2023,Same Day,CUST-0093,Denise Jacobs,Consumer,Central,Michigan,Office Supplies,Binders,4,59.03,0.0,236.13,-14.54
ORD-007686,2024-03-10,17-Mar-2024,First Class,CUST-0005,Cristian Santos,Consumer,East,New Jersey,Furniture,Tables,5,148.87,0.0,744.34,249.86
ORD-001763,2023-02-25,26-Feb-2023,Second Class,CUST-0307,Edward Burgess,Consumer,South,Tennessee,Furniture,Bookcases,5,206.37,0.3,722.28,-101.74
ORD-001929,2024-04-13,20-Apr-2024,First Class,CUST-0410,Jesse Brown,Corporate,East,New York,Furniture,Tables,-2,145.32,0.0,290.63,64.22
ORD-003499,10/20/2024,10/27/2024,Standard Class,CUST-0217,Rodney Morales,Corporate,East,Pennsylvania,Furniture,Chairs,5,307.68,0.0,1538.39,133.4
ORD-003039,10/31/2023,02-Nov-2023,Same Day,CUST-0448,Shelly Spencer,Consumer,Central,Ohio,Furniture,Tables,4,154.12,0.3,431.55,-46.37
ORD-007888,2023-03-18,22-Mar-2023,Standard Class,CUST-0148,Stephanie Salazar,Corporate,Central,Illinois,Furniture,Chairs,1,347.97,0.0,347.97,0.96
ORD-005383,13-Jul-2023,07/14/2023,Second Class,CUST-0229,Michael Bradshaw,Corporate,West,Oregon,Technology,Phones,8,586.77,0.15,3990.04,1045.18
ORD-005828,2024-11-15,16-Nov-2024,First Class,CUST-0128,Jason Powell,Consumer,West,Washington,Furniture,Bookcases,7,90.7,0.0,634.89,42.66
ORD-003624,2024-11-28,30-Nov-2024,Second Class,CUST-0141,Cheyenne Horton,Home Office,Central,Michigan,Technology,Phones,7,385.88,0.1,2431.05,369.04
ORD-008243,05-Feb-2023,02/07/2023,First Class,CUST-0215,Julie Alexander,Corporate,South,Tennessee,Furniture,Bookcases,1,193.44,0.3,135.41,-18.15
ORD-002347,07/14/2023,2023-07-19,Standard Class,CUST-0001,Allison Hill,Consumer,East,Massachusetts,Furniture,Tables,8,321.35,0.3,1799.55,113.78
ORD-007887,2024-08-10,08/13/2024,Same Day,CUST-0336,Andrea Hubbard,Corporate,Central,Michigan,Furniture,Bookcases,4,189.71,0.3,531.2,37.35
ORD-006474,06/22/2024,25-Jun-2024,First Class,CUST-0089,Lisa Archer,Consumer,West,California,Technology,Phones,3,498.47,0.2,1196.33,-139.85
ORD-008096,2023-03-08,13-Mar-2023,Same Day,CUST-0336,Andrea Hubbard,Corporate,Central,Michigan,Furniture,Tables,2,286.53,0.2,458.45,-82.97
ORD-008939,27-Jul-2024,07/31/2024,First Class,CUST-0218,Mark Brown,Corporate,West,Nevada,Office Supplies,Storage,8,31.82,0.1,229.09,47.02
ORD-007920,05/19/2023,2023-05-25,Standard Class,CUST-0006,Connie Lawrence,Home Office,East,New Jersey,Technology,Machines,7,488.55,0.3,2393.91,-185.23
ORD-008511,2023-02-01,2023-02-06,Second Class,CUST-0199,Adam Vaughan,Consumer,West,Nevada,Technology,Phones,5,504.62,0.3,1766.17,10.45
ORD-004976,02/09/2024,13-Feb-2024,First Class,CUST-0435,Ashley Wise,Corporate,East,Pennsylvania,Technology,Phones,2,504.14,0.0,1008.27,178.75
ORD-004783,25-Jan-2023,2023-01-30,Same Day,CUST-0077,angela lopez,Home Office,East,New York,Office Supplies,Storage,1,39.94,0.0,39.94,6.49
ORD-007638,2023-06-17,06/19/2023,Second Class,CUST-0285,Stephanie Williams,Corporate,East,New York,Technology,Accessories,3,449.04,0.0,1347.13,-272.58
ORD-000379,11/18/2024,2024-11-19,Same Day,CUST-0252,Olivia Harris,Corporate,South,Tennessee,  Furniture ,Chairs,2,287.0,0.3,401.8,8.91
ORD-004905,21-Apr-2024,2024-04-27,Same Day,CUST-0376,Paul Lewis,Consumer,West,Nevada,Office Supplies,Labels,5,13.24,0.1,59.59,7.47
ORD-000336,05-Jan-2024,01/11/2024,First Class,CUST-0379,Anthony Moore,Consumer,West,Washington,Office Supplies,Binders,4,48.08,0.0,192.34,-19.0
ORD-000653,06-Nov-2024,11/13/2024,Second Class,CUST-0421,George Harper,Home Office,Central,Michigan,Office Supplies,Labels,3,40.63,0.0,121.9,5.14
ORD-000771,09/01/2024,2024-09-08,Second Class,CUST-0476,Julie Dominguez,Corporate,South,Georgia,Furniture,Furnishings,4,247.94,0.0,991.75,359.68
ORD-003638,2024-09-07,09/11/2024,Same Day,CUST-0179,Lawrence Adkins,Corporate,South,Florida,Office Supplies,Paper,1,50.08,0.1,45.07,2.95
ORD-008117,21-Dec-2024,2024-12-23,First Class,CUST-0318,Ashley Hall,Home Office,Central,Ohio,Technology,Copiers,6,519.93,0.0,3119.55,421.47
ORD-000233,2023-09-12,2023-09-17,Standard Class,CUST-0303,Megan Le,Consumer,South,Tennessee,Technology,Phones,5,386.52,0.3,1352.82,-35.87
ORD-003010,30-Jan-2024,02-Feb-2024,Standard Class,CUST-0486,Jonathan Glass MD,Consumer,Central,Texas,Office Supplies,Paper,7,33.45,0.2,187.34,21.67
ORD-003783,26-Mar-2024,04/01/2024,Second Class,CUST-0240,Yvonne Chambers,Consumer,Central,Illinois,Technology,Machines,1,443.56,0.0,443.56,-25.07
ORD-005184,2024-03-28,2024-03-30,First Class,CUST-0106,Marc Moore,Corporate,Central,Illinois,Office Supplies,Binders,3,24.34,0.1,65.71,14.1
ORD-002375,15-Mar-2023,21-Mar-2023,Second Class,CUST-0359,Christian Leblanc,Home Office,East,New Jersey,Technology,Phones,7,295.81,0.0,2070.66,334.9
ORD-003262,2024-05-01,02-May-2024,Same Day,CUST-0100,Stephen Mckee,Consumer,East,Massachusetts,Furniture,Chairs,3,222.35,0.15,567.0,139.96
ORD-008121,05/31/2023,06/03/2023,First Class,CUST-0429,Robin Santiago,Consumer,East,New Jersey,Office Supplies,Art,3,56.09,0.15,143.04,19.66
ORD-004033,2024-08-04,10-Aug-2024,Second Class,CUST-0256,Kristen Davis,Home Office,Central,Texas,Office Supplies,Storage,1,25.74,0.0,25.74,4.14
ORD-002092,2024-01-06,2024-01-12,First Class,CUST-0405,Joann Glass,Corporate,South,Tennessee,Office Supplies,Labels,2,26.11,0.15,44.39,3.54
ORD-001986,12/30/2024,2025-01-06,Standard Class,CUST-0133,Mary Marshall,Home Office,West,Oregon,Furniture,Chairs,6,220.21,0.15,1123.07,19.91
ORD-000113,2024-11-30,2024-12-06,First Class,CUST-0023,Ethan Adams,Home Office,East,New Jersey,Office Supplies,Binders,3,30.04,0.2,72.11,9.42
ORD-005129,08/16/2024,08/18/2024,Same Day,CUST-0305,Maria Parker,Corporate,South,North Carolina,Technology,Copiers,3,482.31,0.0,1446.92,171.51
ORD-007649,2024-09-10,2024-09-12,Second Class,CUST-0163,Lindsey Walker,Home Office,East,New Jersey,Office Supplies,Labels,3,28.39,0.0,85.16,13.76
ORD-001997,12/20/2023,12/21/2023,First Class,CUST-0485,jasmine beltran,Home Office,Central,Ohio,Furniture,Tables,3,101.84,0.15,259.69,62.36
ORD-006589,11/15/2023,2023-11-19,First Class,CUST-0214,Katherine Salas,Consumer,South,North Carolina,Office Supplies,Binders,5,32.9,0.3,115.14,27.48
ORD-008196,06/28/2023,07/03/2023,Same Day,CUST-0449,Ryan Rosales,Corporate,East,New Jersey,Technology,Phones,5,306.45,0.0,1532.27,303.66
ORD-008386,13-Jul-2023,2023-07-19,Standard Class,CUST-0401,Robin Young,Home Office,South,Tennessee,Technology,Phones,1,293.68,0.2,234.95,-49.5
ORD-005890,2024-11-21,25-Nov-2024,First Class,CUST-0216,Anthony Everett,Corporate,Central,Illinois,Office Supplies,Labels,6,31.35,0.2,150.49,-15.21
ORD-006566,02/16/2024,02/22/2024,Standard Class,CUST-0032,James Ferrell,Home Office,West,Oregon,Technology,Copiers,4,397.17,0.2,1270.93,185.48
ORD-003336,09/28/2024,10/02/2024,Same Day,CUST-0209,Dr. William Warren,Home Office,Central,Ohio,Office Supplies,Binders,7,37.53,0.3,183.89,-14.69
ORD-004887,07/31/2024,2024-08-04,Standard Class,CUST-0394,Robert Montgomery,Corporate,East,Pennsylvania,Furniture,Chairs,6,143.14,0.0,858.86,106.93
ORD-008268,06/05/2023,07-Jun-2023,Second Class,CUST-0126,Erin Edwards,Consumer,WEST,Nevada,  Office Supplies ,Storage,5,22.65,0.0,113.27,14.94
ORD-006209,09/23/2023,27-Sep-2023,Standard Class,CUST-0436,Sophia Johnson,Consumer,Central,Illinois,Furniture,Tables,6,209.54,0.2,1005.81,20.89
