order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,category,sub_category,quantity,unit_price,discount,sales,profit,order_year,order_month,days_to_ship,profit_margin
ORD-008853,2023-01-02,2023-01-08,Second Class,CUST-0286,Elaine Brooks,Corporate,South,Florida,Office Supplies,Paper,1,47.81,0.0,47.81,11.3,2023,2023-01,6,0.2364
ORD-007742,2023-01-02,2023-01-08,Standard Class,CUST-0009,Gabrielle Davis,Corporate,South,North Carolina,Technology,Machines,4,231.92,0.15,788.53,72.38,2023,2023-01,6,0.0918
ORD-004911,2023-01-02,2023-01-05,Same Day,CUST-0309,Kiara Mcintyre,Corporate,South,Georgia,Office Supplies,Binders,4,38.1,0.3,106.68,5.06,2023,2023-01,3,0.0474
ORD-006920,2023-01-02,2023-01-08,Same Day,CUST-0094,Christina Walters,Corporate,West,Nevada,Technology,Copiers,8,382.15,0.0,3057.22,634.9,2023,2023-01,6,0.2077
ORD-000014,2023-01-02,2023-01-07,Same Day,CUST-0296,John Young,Corporate,West,Oregon,Office Supplies,Art,6,22.91,0.0,137.49,26.82,2023,2023-01,5,0.1951
ORD-002828,2023-01-02,2023-01-07,Same Day,CUST-0351,Ana Hill,Consumer,Central,Michigan,Technology,Machines,3,294.9,0.3,619.29,-59.88,2023,2023-01,5,-0.0967
ORD-002966,2023-01-02,2023-01-05,Same Day,CUST-0029,Zachary Hicks,Consumer,Central,Ohio,Technology,Accessories,6,284.0,0.3,1192.78,-113.94,2023,2023-01,3,-0.0955
ORD-005356,2023-01-02,2023-01-08,Second Class,CUST-0216,Anthony Everett,Corporate,Central,Illinois,Furniture,Bookcases,7,338.11,0.0,2366.75,955.98,2023,2023-01,6,0.4039
ORD-000224,2023-01-02,2023-01-04,Second Class,CUST-0019,Lisa Jackson,Corporate,East,Massachusetts,Technology,Phones,8,443.99,0.0,3551.93,132.18,2023,2023-01,2,0.0372
ORD-002393,2023-01-02,2023-01-06,Standard Class,CUST-0082,Mike Allen,Corporate,South,Tennessee,Technology,Machines,4,730.63,0.0,2922.5,331.2,2023,2023-01,4,0.1133
ORD-008828,2023-01-02,2023-01-06,First Class,CUST-0133,Mary Marshall,Home Office,West,Oregon,Technology,Machines,5,583.93,0.15,2481.72,480.87,2023,2023-01,4,0.1938
ORD-008216,2023-01-03,2023-01-10,Same Day,CUST-0272,Veronica Simpson,Home Office,South,North Carolina,Office Supplies,Art,8,40.02,0.3,224.1,39.72,2023,2023-01,7,0.1772
ORD-007876,2023-01-03,2023-01-10,First Class,CUST-0160,Jamie Smith,Consumer,West,California,Furniture,Bookcases,6,330.7,0.15,1686.54,282.48,2023,2023-01,7,0.1675
ORD-006315,2023-01-03,2023-01-04,First Class,CUST-0004,Daniel Wagner,Consumer,South,Florida,Office Supplies,Storage,1,37.31,0.2,29.85,-5.14,2023,2023-01,1,-0.1722
ORD-004204,2023-01-03,2023-01-04,Second Class,CUST-0345,Kayla Rodriguez,Home Office,East,New York,Furniture,Tables,4,403.91,0.15,1373.28,-75.14,2023,2023-01,1,-0.0547
ORD-001087,2023-01-03,2023-01-07,First Class,CUST-0407,Lori Hernandez,Home Office,Central,Michigan,Technology,Copiers,1,361.62,0.3,253.13,4.61,2023,2023-01,4,0.0182
ORD-002435,2023-01-03,2023-01-09,Same Day,CUST-0336,Andrea Hubbard,Corporate,Central,Michigan,Technology,Phones,5,417.63,0.0,2088.16,182.39,2023,2023-01,6,0.0873
ORD-002874,2023-01-03,2023-01-07,Same Day,CUST-0164,Jeffrey Johnson,Corporate,East,New Jersey,Furniture,Chairs,8,221.21,0.1,1592.71,277.57,2023,2023-01,4,0.1743
ORD-007766,2023-01-03,2023-01-04,Second Class,CUST-0377,Glen Wood,Home Office,East,New Jersey,Technology,Phones,1,563.0,0.0,563.0,156.3,2023,2023-01,1,0.2776
ORD-001372,2023-01-03,2023-01-10,Second Class,CUST-0251,Isaiah Avila,Home Office,South,Georgia,Office Supplies,Binders,3,35.46,0.3,74.46,4.99,2023,2023-01,7,0.067
ORD-007614,2023-01-03,2023-01-10,Second Class,CUST-0419,Jeffrey Mills,Corporate,West,California,Furniture,Furnishings,8,290.71,0.1,2093.15,307.09,2023,2023-01,7,0.1467
ORD-002787,2023-01-03,2023-01-04,Same Day,CUST-0283,Jessica Garcia,Corporate,East,New York,Furniture,Tables,2,224.2,0.2,358.71,-16.12,2023,2023-01,1,-0.0449
ORD-006006,2023-01-03,2023-01-04,Standard Class,CUST-0169,Joel Williams,Home Office,Central,Ohio,Office Supplies,Paper,8,28.58,0.0,228.63,55.9,2023,2023-01,1,0.2445
ORD-006364,2023-01-03,2023-01-04,Standard Class,CUST-0372,Debra White,Corporate,West,Nevada,Furniture,Chairs,5,311.1,0.15,1322.2,149.84,2023,2023-01,1,0.1133
ORD-002819,2023-01-03,2023-01-10,First Class,CUST-0308,Carlos Ryan,Corporate,East,Pennsylvania,Technology,Accessories,3,650.17,0.0,1950.5,56.66,2023,2023-01,7,0.029
ORD-001720,2023-01-03,2023-01-10,Standard Class,CUST-0112,Shannon Walker,Home Office,West,Nevada,Furniture,Tables,4,153.38,0.0,613.51,113.58,2023,2023-01,7,0.1851
ORD-006929,2023-01-03,2023-01-07,First Class,CUST-0325,Natalie Bautista,Corporate,East,Massachusetts,Technology,Machines,3,281.3,0.0,843.9,84.68,2023,2023-01,4,0.1003
ORD-002037,2023-01-04,2023-01-09,Same Day,CUST-0326,Patrick Moore,Corporate,Central,Illinois,Furniture,Furnishings,1,134.68,0.3,94.28,-1.64,2023,2023-01,5,-0.0174
ORD-000759,2023-01-04,2023-01-08,First Class,CUST-0243,Kevin Walters,Consumer,South,Florida,Technology,Accessories,8,581.61,0.0,4652.91,1050.15,2023,2023-01,4,0.2257
ORD-002954,2023-01-04,2023-01-05,Standard Class,CUST-0072,Whitney Peters,Consumer,Central,Illinois,Furniture,Furnishings,5,236.79,0.0,1183.95,-234.35,2023,2023-01,1,-0.1979
ORD-008286,2023-01-04,2023-01-10,Second Class,CUST-0317,Lauren Carson,Corporate,East,Pennsylvania,Technology,Accessories,8,443.96,0.3,2486.17,155.34,2023,2023-01,6,0.0625
ORD-000109,2023-01-04,2023-01-10,Standard Class,CUST-0046,Philip Cannon,Corporate,West,Washington,Office Supplies,Storage,4,26.89,0.15,91.41,11.11,2023,2023-01,6,0.1215
ORD-002469,2023-01-04,2023-01-09,First Class,CUST-0129,Cameron Fisher,Corporate,South,North Carolina,Technology,Copiers,4,400.38,0.1,1441.36,428.95,2023,2023-01,5,0.2976
ORD-002350,2023-01-04,2023-01-09,First Class,CUST-0172,Darlene Miller,Corporate,West,Oregon,Office Supplies,Paper,6,36.33,0.0,217.96,20.42,2023,2023-01,5,0.0937
ORD-003170,2023-01-04,2023-01-10,Second Class,CUST-0061,Victoria Garcia,Consumer,East,New York,Furniture,Chairs,4,260.43,0.1,937.54,135.55,2023,2023-01,6,0.1446
ORD-005137,2023-01-04,2023-01-11,First Class,CUST-0153,Denise Jones,Home Office,Central,Michigan,Technology,Machines,1,636.25,0.0,636.25,167.19,2023,2023-01,7,0.2628
ORD-007324,2023-01-04,2023-01-06,Same Day,CUST-0414,Joanna Pacheco,Corporate,East,Massachusetts,Office Supplies,Binders,8,45.8,0.2,293.13,-32.42,2023,2023-01,2,-0.1106
ORD-005991,2023-01-04,2023-01-08,Standard Class,CUST-0029,Zachary Hicks,Consumer,Central,Ohio,Furniture,Bookcases,3,150.3,0.0,450.89,52.24,2023,2023-01,4,0.1159
ORD-007435,2023-01-04,2023-01-06,Standard Class,CUST-0467,Jason Beck,Corporate,Central,Ohio,Technology,Copiers,3,502.59,0.1,1357.0,290.58,2023,2023-01,2,0.2141
ORD-003692,2023-01-04,2023-01-10,First Class,CUST-0356,Jesse Perez,Corporate,East,New York,Furniture,Chairs,7,226.55,0.3,1110.09,-106.03,2023,2023-01,6,-0.0955
ORD-002864,2023-01-04,2023-01-07,Standard Class,CUST-0420,Jake Campbell,Consumer,Central,Illinois,Furniture,Chairs,6,84.38,0.0,506.27,61.93,2023,2023-01,3,0.1223
ORD-003692,2023-01-04,2023-01-10,First Class,CUST-0356,Jesse Perez,Corporate,East,New York,Furniture,Chairs,7,226.55,0.3,1110.09,-106.03,2023,2023-01,6,-0.0955
ORD-007220,2023-01-04,2023-01-07,Standard Class,CUST-0114,Crystal Johnson,Consumer,East,New Jersey,Furniture,Tables,8,228.84,0.0,1830.75,25.17,2023,2023-01,3,0.0137
ORD-001432,2023-01-04,2023-01-08,Same Day,CUST-0314,Tracy Ballard,Home Office,South,Georgia,Office Supplies,Labels,3,23.43,0.2,56.22,4.6,2023,2023-01,4,0.0818
ORD-001516,2023-01-04,2023-01-05,Same Day,CUST-0495,Meghan Cisneros,Home Office,West,Washington,Technology,Machines,3,101.4,0.15,258.57,18.36,2023,2023-01,1,0.071
ORD-001343,2023-01-04,2023-01-06,Standard Class,CUST-0118,Ashley Waller,Consumer,Central,Illinois,Furniture,Tables,4,275.13,0.15,935.44,175.81,2023,2023-01,2,0.1879
ORD-007287,2023-01-04,2023-01-11,Standard Class,CUST-0266,Joshua Reed,Consumer,East,New Jersey,Furniture,Tables,4,265.32,0.0,1061.3,8.01,2023,2023-01,7,0.0075
ORD-007566,2023-01-05,2023-01-07,Standard Class,CUST-0172,Darlene Miller,Corporate,West,Oregon,Office Supplies,Binders,6,30.09,0.0,180.52,2.24,2023,2023-01,2,0.0124
ORD-001995,2023-01-05,2023-01-08,Standard Class,CUST-0443,Robert Harrison,Home Office,West,Oregon,Furniture,Chairs,7,394.26,0.0,2759.81,157.44,2023,2023-01,3,0.057
ORD-008798,2023-01-05,2023-01-12,Second Class,CUST-0181,Alexander Collins,Corporate,Central,Ohio,Technology,Accessories,2,127.34,0.2,203.75,-38.85,2023,2023-01,7,-0.1907
ORD-001076,2023-01-05,2023-01-06,Same Day,CUST-0123,April Frost,Home Office,South,Georgia,Technology,Copiers,3,378.9,0.1,1023.02,357.42,2023,2023-01,1,0.3494
ORD-003462,2023-01-05,2023-01-10,First Class,CUST-0328,Trevor Johnson,Consumer,West,Washington,Furniture,Chairs,3,282.43,0.2,677.82,-58.33,2023,2023-01,5,-0.0861
ORD-004937,2023-01-05,2023-01-12,Same Day,CUST-0297,Laura Haney,Corporate,Central,Ohio,Technology,Copiers,6,361.61,0.0,2169.67,687.57,2023,2023-01,7,0.3169
ORD-006701,2023-01-05,2023-01-12,Standard Class,CUST-0188,Samantha Garcia,Home Office,East,Pennsylvania,Furniture,Bookcases,4,171.13,0.1,616.08,20.13,2023,2023-01,7,0.0327
ORD-006143,2023-01-05,2023-01-11,Standard Class,CUST-0266,Joshua Reed,Consumer,East,New Jersey,Technology,Accessories,2,383.25,0.0,766.5,170.79,2023,2023-01,6,0.2228
ORD-008131,2023-01-05,2023-01-07,Standard Class,CUST-0494,Mark Cox,Consumer,South,Georgia,Technology,Phones,6,591.72,0.0,3550.33,897.8,2023,2023-01,2,0.2529
ORD-004539,2023-01-05,2023-01-08,First Class,CUST-0066,Amber Kidd,Consumer,South,Tennessee,Office Supplies,Art,2,31.47,0.1,56.65,0.65,2023,2023-01,3,0.0115
ORD-004017,2023-01-05,2023-01-07,Second Class,CUST-0228,Michael Warner,Consumer,Central,Ohio,Technology,Machines,3,569.36,0.3,1195.66,112.68,2023,2023-01,2,0.0942
ORD-007001,2023-01-05,2023-01-11,Standard Class,CUST-0115,Garrett Lin,Corporate,East,New Jersey,Furniture,Bookcases,7,233.18,0.0,1632.27,203.54,2023,2023-01,6,0.1247
ORD-006116,2023-01-05,2023-01-06,First Class,CUST-0027,Justin Baker,Corporate,East,Pennsylvania,Furniture,Tables,3,273.22,0.1,737.69,158.75,2023,2023-01,1,0.2152
ORD-001446,2023-01-05,2023-01-09,Standard Class,CUST-0206,David Martinez,Home Office,East,New Jersey,Technology,Accessories,1,416.95,0.0,416.95,-44.06,2023,2023-01,4,-0.1057
ORD-007566,2023-01-05,2023-01-07,Standard Class,CUST-0172,Darlene Miller,Corporate,West,Oregon,Office Supplies,Binders,6,30.09,0.0,180.52,2.24,2023,2023-01,2,0.0124
ORD-003353,2023-01-05,2023-01-12,Second Class,CUST-0492,Heather Bolton,Consumer,Central,Texas,Technology,Copiers,4,370.08,0.1,1332.27,13.9,2023,2023-01,7,0.0104
ORD-000488,2023-01-06,2023-01-12,Standard Class,CUST-0162,Jennifer Adkins,Home Office,West,Nevada,Office Supplies,Paper,1,30.32,0.15,25.77,-1.98,2023,2023-01,6,-0.0768
ORD-006166,2023-01-06,2023-01-11,Same Day,CUST-0287,Joseph Knight,Home Office,West,Oregon,Office Supplies,Labels,6,25.72,0.0,154.31,25.8,2023,2023-01,5,0.1672
ORD-008461,2023-01-06,2023-01-07,Same Day,CUST-0428,Emily Bennett,Home Office,Central,Michigan,Furniture,Chairs,3,333.57,0.0,1000.7,231.41,2023,2023-01,1,0.2312
ORD-000952,2023-01-06,2023-01-09,Same Day,CUST-0290,Briana Murray,Corporate,West,Nevada,Technology,Phones,7,540.77,0.0,3785.42,735.72,2023,2023-01,3,0.1944
ORD-001313,2023-01-06,2023-01-09,Second Class,CUST-0469,Katie Mcneil,Consumer,Central,Texas,Office Supplies,Art,4,39.3,0.0,157.21,7.34,2023,2023-01,3,0.0467
ORD-006894,2023-01-06,2023-01-10,First Class,CUST-0091,Matthew Mcmillan,Home Office,West,California,Technology,Phones,8,115.49,0.15,785.36,67.76,2023,2023-01,4,0.0863
ORD-000169,2023-01-07,2023-01-11,Same Day,CUST-0415,Erica Alvarez,Consumer,Central,Illinois,Furniture,Bookcases,6,188.09,0.3,789.97,-30.47,2023,2023-01,4,-0.0386
ORD-008663,2023-01-07,2023-01-08,Standard Class,CUST-0255,Cynthia Moore,Consumer,East,New Jersey,Technology,Machines,7,569.77,0.3,2791.87,-21.95,2023,2023-01,1,-0.0079
ORD-001889,2023-01-07,2023-01-12,Standard Class,CUST-0133,Mary Marshall,Home Office,West,Oregon,Technology,Machines,7,180.26,0.0,1261.84,3.26,2023,2023-01,5,0.0026
ORD-007879,2023-01-07,2023-01-14,First Class,CUST-0071,Jordan Henderson,Consumer,East,Pennsylvania,Technology,Phones,6,390.14,0.2,1872.69,221.75,2023,2023-01,7,0.1184
ORD-004802,2023-01-07,2023-01-08,Same Day,CUST-0365,Tracy Burke,Consumer,South,Florida,Office Supplies,Paper,8,37.0,0.0,207.19,24.100054241904804,2023,2023-01,1,0.1163
ORD-000673,2023-01-07,2023-01-08,Same Day,CUST-0136,Jose Schultz,Home Office,South,Florida,Technology,Machines,6,513.95,0.0,3083.68,-86.92,2023,2023-01,1,-0.0282
ORD-000140,2023-01-07,2023-01-11,Second Class,CUST-0080,Lisa Barnes,Corporate,West,California,Furniture,Chairs,3,255.24,0.3,535.99,-24.78,2023,2023-01,4,-0.0462
ORD-008593,2023-01-07,2023-01-08,Standard Class,CUST-0236,Kathryn Snyder,Consumer,West,Nevada,Office Supplies,Storage,1,53.88,0.1,48.5,2.31,2023,2023-01,1,0.0476
ORD-005482,2023-01-07,2023-01-13,First Class,CUST-0431,Maria Henderson,Corporate,East,Pennsylvania,Furniture,Bookcases,8,193.89,0.1,1396.03,258.26,2023,2023-01,6,0.185
ORD-004597,2023-01-08,2023-01-09,Standard Class,CUST-0003,Angie Henderson,Home Office,East,New York,Technology,Copiers,6,474.17,0.0,2845.01,545.06,2023,2023-01,1,0.1916
ORD-007373,2023-01-08,2023-01-10,Second Class,CUST-0061,Victoria Garcia,Consumer,East,New York,Office Supplies,Art,8,39.97,0.15,271.78,44.07,2023,2023-01,2,0.1622
ORD-008669,2023-01-08,2023-01-14,First Class,CUST-0132,Dustin Jordan,Consumer,East,Massachusetts,Technology,Machines,2,558.69,0.0,1117.38,-73.66,2023,2023-01,6,-0.0659
ORD-008819,2023-01-08,2023-01-14,Second Class,CUST-0114,Crystal Johnson,Consumer,East,New Jersey,Furniture,Furnishings,5,290.79,0.0,1453.93,61.13,2023,2023-01,6,0.042
ORD-005431,2023-01-08,2023-01-11,Same Day,CUST-0471,Veronica King,Home Office,South,Georgia,Technology,Machines,2,382.04,0.0,764.09,-7.98,2023,2023-01,3,-0.0104
ORD-001902,2023-01-08,2023-01-12,Standard Class,CUST-0500,Phillip Berry,Corporate,Central,Illinois,Office Supplies,Binders,7,22.22,0.1,139.98,23.68,2023,2023-01,4,0.1692
ORD-004989,2023-01-08,2023-01-12,Second Class,CUST-0485,Jasmine Beltran,Home Office,Central,Ohio,Office Supplies,Binders,3,52.58,0.2,126.19,-13.64,2023,2023-01,4,-0.1081
ORD-007184,2023-01-08,2023-01-10,Second Class,CUST-0425,Felicia Aguilar,Home Office,East,New Jersey,Office Supplies,Art,1,28.56,0.0,28.56,3.12,2023,2023-01,2,0.1092
ORD-005175,2023-01-08,2023-01-10,First Class,CUST-0422,Maria Jones,Corporate,Central,Texas,Technology,Machines,6,493.74,0.0,2962.45,367.8,2023,2023-01,2,0.1242
ORD-006632,2023-01-08,2023-01-14,First Class,CUST-0317,Lauren Carson,Corporate,East,Pennsylvania,Furniture,Furnishings,3,225.94,0.2,542.27,10.86,2023,2023-01,6,0.02
ORD-007508,2023-01-08,2023-01-11,Same Day,CUST-0003,Angie Henderson,Home Office,East,New York,Furniture,Bookcases,2,311.5,0.15,529.55,139.56,2023,2023-01,3,0.2635
ORD-006533,2023-01-08,2023-01-12,First Class,CUST-0270,Patrick Thornton,Home Office,Central,Ohio,Technology,Machines,6,407.93,0.2,1958.07,394.29,2023,2023-01,4,0.2014
ORD-008606,2023-01-08,2023-01-15,First Class,CUST-0058,Richard Aguirre,Consumer,East,New Jersey,Furniture,Tables,3,187.42,0.15,477.93,68.1,2023,2023-01,7,0.1425
ORD-007536,2023-01-08,2023-01-14,Standard Class,CUST-0464,Taylor Carlson,Corporate,South,North Carolina,Technology,Phones,4,208.7,0.0,834.8,177.63,2023,2023-01,6,0.2128
ORD-003677,2023-01-08,2023-01-11,Second Class,CUST-0173,Joshua Cooke,Home Office,Central,Texas,Office Supplies,Labels,8,29.72,0.0,237.76,69.3,2023,2023-01,3,0.2915
ORD-003098,2023-01-09,2023-01-10,First Class,CUST-0309,Kiara Mcintyre,Corporate,South,Georgia,Office Supplies,Storage,2,6.52,0.15,11.08,1.46,2023,2023-01,1,0.1318
ORD-008249,2023-01-09,2023-01-15,Second Class,CUST-0482,Howard Norman,Corporate,West,California,Office Supplies,Art,1,41.06,0.1,36.95,8.74,2023,2023-01,6,0.2365
ORD-008790,2023-01-09,2023-01-13,Standard Class,CUST-0116,Diana May,Consumer,South,Florida,Technology,Accessories,6,272.31,0.0,1633.89,210.07,2023,2023-01,4,0.1286
ORD-004065,2023-01-09,2023-01-13,Standard Class,CUST-0028,Stephanie Ross,Consumer,Central,Illinois,Technology,Phones,2,378.14,0.0,756.28,138.96,2023,2023-01,4,0.1837
ORD-003027,2023-01-09,2023-01-16,Standard Class,CUST-0201,Melissa Brewer,Home Office,South,North Carolina,Furniture,Chairs,8,222.77,0.0,1782.12,450.04,2023,2023-01,7,0.2525
ORD-004582,2023-01-09,2023-01-11,Second Class,CUST-0233,Christopher Parker,Corporate,Central,Michigan,Furniture,Furnishings,4,300.33,0.3,840.91,107.77,2023,2023-01,2,0.1282
ORD-007913,2023-01-09,2023-01-16,First Class,CUST-0344,Nichole Alvarez,Home Office,Central,Illinois,Technology,Phones,5,609.97,0.2,2439.89,-456.39,2023,2023-01,7,-0.1871
ORD-002602,2023-01-09,2023-01-10,First Class,CUST-0400,Hannah Luna,Home Office,South,North Carolina,Furniture,Furnishings,4,261.21,0.1,940.35,228.03,2023,2023-01,1,0.2425
ORD-003318,2023-01-09,2023-01-12,Standard Class,CUST-0093,Denise Jacobs,Consumer,Central,Michigan,Office Supplies,Binders,2,27.02,0.0,54.03,5.55,2023,2023-01,3,0.1027
ORD-005672,2023-01-09,2023-01-11,Same Day,CUST-0448,Shelly Spencer,Consumer,Central,Ohio,Office Supplies,Art,1,29.96,0.2,23.97,0.09,2023,2023-01,2,0.0038
ORD-000383,2023-01-10,2023-01-17,Second Class,CUST-0124,Michelle Harmon,Consumer,Central,Texas,Furniture,Chairs,3,336.2,0.2,806.87,-68.08,2023,2023-01,7,-0.0844
ORD-003050,2023-01-10,2023-01-12,First Class,CUST-0096,Anna Henderson,Corporate,South,Florida,Technology,Accessories,1,427.97,0.0,427.97,27.32,2023,2023-01,2,0.0638
ORD-005127,2023-01-10,2023-01-17,Standard Class,CUST-0115,Garrett Lin,Corporate,East,New Jersey,Furniture,Furnishings,1,289.6,0.1,260.64,15.06,2023,2023-01,7,0.0578
ORD-001225,2023-01-10,2023-01-11,Standard Class,CUST-0333,Jordan Bates,Corporate,South,Georgia,Technology,Phones,5,305.95,0.3,1070.82,-88.73,2023,2023-01,1,-0.0829
ORD-001247,2023-01-10,2023-01-15,Second Class,CUST-0464,Taylor Carlson,Corporate,South,North Carolina,Furniture,Furnishings,8,213.02,0.0,1704.13,550.84,2023,2023-01,5,0.3232
ORD-004211,2023-01-10,2023-01-14,Second Class,CUST-0096,Anna Henderson,Corporate,South,Florida,Furniture,Furnishings,2,271.55,0.1,488.78,128.67,2023,2023-01,4,0.2632
ORD-008888,2023-01-10,2023-01-15,Standard Class,CUST-0088,Christopher Bass,Home Office,East,New York,Furniture,Tables,1,158.97,0.0,158.97,40.32,2023,2023-01,5,0.2536
ORD-006594,2023-01-10,2023-01-15,Second Class,CUST-0492,Heather Bolton,Consumer,Central,Texas,Office Supplies,Binders,6,26.19,0.0,157.17,45.82,2023,2023-01,5,0.2915
ORD-006018,2023-01-10,2023-01-11,First Class,CUST-0344,Nichole Alvarez,Home Office,Central,Illinois,Office Supplies,Labels,2,48.71,0.0,97.42,6.27,2023,2023-01,1,0.0644
ORD-000141,2023-01-10,2023-01-12,Standard Class,CUST-0351,Ana Hill,Consumer,Central,Michigan,Furniture,Tables,8,258.51,0.0,2068.11,474.54,2023,2023-01,2,0.2295
ORD-003664,2023-01-11,2023-01-14,Second Class,CUST-0195,John Bishop,Corporate,East,New Jersey,Furniture,Furnishings,8,338.37,0.0,1894.87,92.8,2023,2023-01,3,0.049
ORD-003895,2023-01-11,2023-01-14,Standard Class,CUST-0398,Gary Jackson,Consumer,West,Washington,Furniture,Furnishings,2,245.66,0.3,343.93,46.55,2023,2023-01,3,0.1353
ORD-002465,2023-01-11,2023-01-13,Standard Class,CUST-0375,Charles Schultz,Corporate,East,Massachusetts,Technology,Phones,4,245.13,0.3,686.37,-11.8,2023,2023-01,2,-0.0172
ORD-003216,2023-01-11,2023-01-13,Same Day,CUST-0425,Felicia Aguilar,Home Office,East,New Jersey,Technology,Phones,3,324.56,0.3,681.58,-214.14,2023,2023-01,2,-0.3142
ORD-008885,2023-01-11,2023-01-18,First Class,CUST-0227,Kirk Carter,Consumer,South,Florida,Technology,Accessories,5,240.14,0.0,1200.72,237.49,2023,2023-01,7,0.1978
ORD-007634,2023-01-11,2023-01-14,First Class,CUST-0035,Debra Davidson,Consumer,South,Florida,Furniture,Bookcases,5,281.15,0.1,1265.17,405.59,2023,2023-01,3,0.3206
ORD-005001,2023-01-11,2023-01-14,First Class,CUST-0237,Andrew Reynolds,Home Office,Central,Michigan,Office Supplies,Labels,5,27.88,0.15,118.47,13.43,2023,2023-01,3,0.1134
ORD-006117,2023-01-11,2023-01-12,Second Class,CUST-0293,Jeremy Reed,Home Office,Central,Texas,Office Supplies,Labels,8,25.96,0.1,186.94,26.42,2023,2023-01,1,0.1413
ORD-003144,2023-01-11,2023-01-14,Standard Class,CUST-0372,Debra White,Corporate,West,Nevada,Technology,Copiers,3,275.18,0.0,825.53,193.06,2023,2023-01,3,0.2339
ORD-003381,2023-01-11,2023-01-14,Same Day,CUST-0197,Daniel Salinas,Consumer,East,New Jersey,Furniture,Chairs,2,311.48,0.2,498.37,-11.69,2023,2023-01,3,-0.0235
ORD-001298,2023-01-11,2023-01-15,Same Day,CUST-0084,Paul Jones,Consumer,West,Oregon,Technology,Copiers,3,501.81,0.1,1354.89,-162.08,2023,2023-01,4,-0.1196
ORD-007963,2023-01-11,2023-01-13,Second Class,CUST-0001,Allison Hill,Consumer,East,Massachusetts,Technology,Copiers,7,541.82,0.0,3792.74,343.66,2023,2023-01,2,0.0906
ORD-007449,2023-01-12,2023-01-18,Same Day,CUST-0326,Patrick Moore,Corporate,Central,Illinois,Furniture,Tables,1,304.14,0.0,304.14,21.84,2023,2023-01,6,0.0718
ORD-006764,2023-01-12,2023-01-17,Same Day,CUST-0065,Jessica Callahan,Home Office,West,Washington,Office Supplies,Storage,2,20.51,0.15,34.86,7.84,2023,2023-01,5,0.2249
ORD-002277,2023-01-12,2023-01-13,First Class,CUST-0356,Jesse Perez,Corporate,East,New York,Technology,Accessories,3,504.74,0.2,1211.37,-140.44,2023,2023-01,1,-0.1159
ORD-008224,2023-01-12,2023-01-14,Standard Class,CUST-0086,Daniel Baker,Consumer,Central,Texas,Furniture,Chairs,4,290.05,0.0,1160.22,162.53,2023,2023-01,2,0.1401
